n,u,r,s
1,3035.422,3034.834,0.028
8,396.853,3170.302,2.316
16,215.530,3436.003,5.716
24,168.126,4010.743,13.005
32,132.800,4222.200,12.465
40,140.571,5557.103,36.186
48,125.533,5946.720,35.074
56,115.165,6362.014,35.794
64,106.656,6719.728,32.586
